"Zvezna_drzava","Leto","BDP","Populacija"
"South Dakota",2010,40367.3,816166
"South Dakota",2011,42947.2,823579
"South Dakota",2012,43550.7,833566
"South Dakota",2013,43737.7,842316
"South Dakota",2014,44449.7,849129
"South Dakota",2015,45371.8,853988
"South Dakota",2016,45733.6,862996
"South Dakota",2017,46023.9,872868
"South Dakota",2018,47287,878698
"South Dakota",2019,47559.7,884659
"Tennessee",2010,266473.5,6355311
"Tennessee",2011,274626.7,6399291
"Tennessee",2012,283482,6453898
"Tennessee",2013,287259,6494340
"Tennessee",2014,291661.7,6541223
"Tennessee",2015,302970.2,6591170
"Tennessee",2016,308157.4,6646010
"Tennessee",2017,314849.9,6708799
"Tennessee",2018,323316.8,6771631
"Tennessee",2019,328406.3,6829174
"Texas",2010,1301808.3,25241971
"Texas",2011,1343700.8,25645629
"Texas",2012,1410447.8,26084481
"Texas",2013,1470464.6,26480266
"Texas",2014,1518613.7,26964333
"Texas",2015,1595969.5,27470056
"Texas",2016,1606579.8,27914410
"Texas",2017,1651329.5,28295273
"Texas",2018,1715231,28628666
"Texas",2019,1764357.2,28995881
"Utah",2010,123476.3,2775332
"Utah",2011,127216.9,2814384
"Utah",2012,128764.2,2853375
"Utah",2013,132169.1,2897640
"Utah",2014,136325.2,2936879
"Utah",2015,141602,2981835
"Utah",2016,147555.5,3041868
"Utah",2017,153986,3101042
"Utah",2018,162574.4,3153550
"Utah",2019,168792.7,3205958
"Vermont",2010,28116.1,625879
"Vermont",2011,28732.9,627049
"Vermont",2012,28893.6,626090
"Vermont",2013,28367.9,626210
"Vermont",2014,28510.1,625214
"Vermont",2015,28876.6,625216
"Vermont",2016,29206.3,623657
"Vermont",2017,29312.4,624344
"Vermont",2018,29565.4,624358
"Vermont",2019,29806.2,623989
"Virginia",2010,437964.5,8023699
"Virginia",2011,442260.6,8101155
"Virginia",2012,445120.7,8185080
"Virginia",2013,446625,8252427
"Virginia",2014,446790.6,8310993
"Virginia",2015,455830,8361808
"Virginia",2016,460185,8410106
"Virginia",2017,468125.4,8463587
"Virginia",2018,478835,8501286
"Virginia",2019,489168.4,8535519
"Washington",2010,381512.8,6742830
"Washington",2011,388099,6826627
"Washington",2012,400623.3,6897058
"Washington",2013,411468.9,6963985
"Washington",2014,426481.6,7054655
"Washington",2015,446628.3,7163657
"Washington",2016,463974,7294771
"Washington",2017,489435,7423362
"Washington",2018,524486.9,7523869
"Washington",2019,548686.7,7614893
"West Virginia",2010,68474,1854239
"West Virginia",2011,69577.2,1856301
"West Virginia",2012,69335.6,1856872
"West Virginia",2013,70121.2,1853914
"West Virginia",2014,69720.7,1849489
"West Virginia",2015,70332.7,1842050
"West Virginia",2016,69276.4,1831023
"West Virginia",2017,69743.2,1817004
"West Virginia",2018,71858.7,1804291
"West Virginia",2019,72340.4,1792147
"Wisconsin",2010,265116.5,5690475
"Wisconsin",2011,270666.3,5705288
"Wisconsin",2012,274540.5,5719960
"Wisconsin",2013,275648.7,5736754
"Wisconsin",2014,282031.2,5751525
"Wisconsin",2015,288260.1,5760940
"Wisconsin",2016,291320.5,5772628
"Wisconsin",2017,294151.7,5790186
"Wisconsin",2018,303767.4,5807406
"Wisconsin",2019,308044.7,5822434
"Wyoming",2010,39842.9,564487
"Wyoming",2011,39440.3,567299
"Wyoming",2012,38437.7,576305
"Wyoming",2013,38523.2,582122
"Wyoming",2014,38711.1,582531
"Wyoming",2015,39899,585613
"Wyoming",2016,38079.7,584215
"Wyoming",2017,37866.3,578931
"Wyoming",2018,38696.3,577601
"Wyoming",2019,39214,578759
